Word,Class,Heat
dorland,0.0,199.0
agnes,0.0,199.0
touchdown,0.0,199.0
2ptregistartion,0.0,199.0
shelley,0.0,199.0
www,0.0,198.8448275862069
decide,0.0,198.82352941176467
fly,1.0,198.8
media,1.0,198.66666666666663
richman,0.0,198.6
999let,0.0,198.5
beer,0.0,198.5
reunion,0.0,198.5
jan20002,0.0,198.5
prints,1.0,198.33333333333331
ok,0.0,198.32075471698116
mcdaniel,0.0,198.25
rivers,0.0,198.25
suppose,1.0,198.2
hospitality,0.0,198.0
agt,0.0,198.0
movies,0.0,198.0
graciously,0.0,198.0
goodell,0.0,198.0
jodie,0.0,198.0
vista,0.0,198.0
evita,0.0,198.0
recentand,0.0,198.0
basu,1.0,198.0
trotter,1.0,198.0
ignacio,0.0,198.0
stephanfixed,1.0,198.0
upto,0.0,198.0
gros,1.0,198.0
shannon,0.0,198.0
enaubs,1.0,198.0
comgeorge,0.0,198.0
exclusions,1.0,198.0
juan,0.0,197.83333333333331
janice,0.0,197.75
dear,0.0,197.7142857142857
indosuez,0.0,197.66666666666663
terry,0.0,197.64705882352942
fell,0.0,197.6
slides,0.0,197.6
finish,0.0,197.58333333333331
jennifer,0.0,197.55
hess,0.0,197.5
sayre,0.0,197.5
baffled,1.0,197.5
winters,0.0,197.5
reformation,1.0,197.5
dad,1.0,197.4
metaurl,0.0,197.33333333333331
jsloan,0.0,197.25
pc,0.0,197.16666666666663
afterward,0.0,197.0
mercedes,0.0,197.0
statute,1.0,197.0
trevor,0.0,197.0
pizza,0.0,197.0
acquired,0.0,197.0
kit,0.0,197.0
foresee,1.0,197.0
1252,0.0,197.0
oxford,1.0,197.0
glisan,0.0,197.0
declared,0.0,197.0
875,0.0,197.0
chicago,1.0,197.0
trophy,0.0,196.75
tells,1.0,196.75
game,0.0,196.52380952380955
carlos,0.0,196.5
managers,0.0,196.5
janzen,0.0,196.5
joan,1.0,196.5
kid,0.0,196.375
tonight,0.0,196.3508771929825
thu,0.0,196.33333333333331
bagwell,0.0,196.33333333333331
miles,0.0,196.27272727272728
eat,1.0,196.25
guy,0.0,196.20588235294116
fyi,0.0,196.05633802816902
runs,0.0,196.0
sq,0.0,196.0
737,1.0,196.0
helper,0.0,196.0
acknowledged,1.0,196.0
liz,1.0,196.0
questiondid,0.0,196.0
listen,0.0,196.0
holdup,0.0,196.0
worldwide,1.0,196.0
indicative,0.0,196.0
suited,1.0,196.0
farrell,0.0,196.0
thequestions,0.0,196.0
clearance,1.0,196.0
traditional,0.0,196.0
improvement,1.0,196.0
roster,0.0,196.0
tommorow,0.0,196.0
0mm,0.0,196.0
beat,1.0,196.0
1nq45558,0.0,196.0
walmart,1.0,196.0
look's,1.0,196.0
alvin,0.0,196.0
getready,0.0,196.0
comeup,0.0,196.0
carole,0.0,196.0
don,0.0,195.7692307692308
won,0.0,195.66666666666663
noel,0.0,195.66666666666663
sara,0.0,195.63005780346825
gonzales,0.0,195.5
omissions,0.0,195.5
francisco,0.0,195.33333333333331
australia,0.0,195.33333333333331
ann,0.0,195.25
me,0.0,195.13580246913583
woody's,0.0,195.0
insists,0.0,195.0
nowkim,0.0,195.0
loves,0.0,195.0
theoretically,1.0,195.0
aeco,1.0,195.0
858,0.0,195.0
distinguish,0.0,195.0
alabama,0.0,195.0
appeared,0.0,195.0
dempsey,0.0,195.0
wellness,0.0,195.0
beltway,0.0,195.0
plachy,0.0,195.0
campic,0.0,195.0
260,1.0,195.0
plesae,0.0,195.0
beat,0.0,194.9090909090909
samantha,0.0,194.83333333333331
do,0.0,194.80238726790446
renee,0.0,194.75
saturday,1.0,194.75
joe,0.0,194.69565217391303
rolling,1.0,194.66666666666663
cookies,0.0,194.66666666666663
eb3127,0.0,194.66666666666663
terrible,0.0,194.66666666666663
meh,0.0,194.66666666666663
enjoyed,0.0,194.6
martin,0.0,194.57142857142856
miss,0.0,194.5217391304348
appointment,0.0,194.5
olympia,0.0,194.5
afraid,0.0,194.5
chicken,0.0,194.5
614,0.0,194.5
players,0.0,194.35714285714286
play,1.0,194.25
happened,0.0,194.16666666666663
glad,0.0,194.12
lucy,0.0,194.08333333333331
auto,1.0,194.0
remembers,0.0,194.0
butts,1.0,194.0
boyd,0.0,194.0
pete,0.0,194.0
fix,0.0,194.0
beth,0.0,194.0
bowl,1.0,194.0
shaping,1.0,194.0
shefinds,0.0,194.0
kirkland,1.0,194.0
jerry,1.0,194.0
enforced,0.0,194.0
darlene,0.0,194.0
mondays,1.0,194.0
dgfrom,0.0,194.0
quote,0.0,194.0
congratulating,0.0,194.0
remembering,1.0,194.0
dl,0.0,194.0
soi,0.0,194.0
hell,0.0,194.0
transportation,1.0,194.0
kenneth,0.0,194.0
howdy,0.0,194.0
tigers,0.0,194.0
dropping,0.0,194.0
whatwas,0.0,194.0
guinea,1.0,193.88888888888889
stanton,0.0,193.85714285714286
tba,0.0,193.75
election,0.0,193.7142857142857
calculations,0.0,193.66666666666663
natalie,0.0,193.66666666666663
roulette,0.0,193.66666666666663
can,0.0,193.59909909909908
backs,0.0,193.5
joann,0.0,193.5
intrastate,0.0,193.5
precinct,0.0,193.5
laughing,0.0,193.5
melissafrom,1.0,193.5
delaware,0.0,193.5
randall,0.0,193.5
stewart,0.0,193.5
santa,0.0,193.4
told,0.0,193.38181818181815
could,0.0,193.35539215686276
nui,0.0,193.33333333333331
gillette,0.0,193.33333333333331
buchanan,0.0,193.28571428571428
har,0.0,193.28571428571428
info,0.0,193.1
went,0.0,193.07142857142856
guess,1.0,193.0625
fastow,1.0,193.0
sunbin,0.0,193.0
shorts,0.0,193.0
tonight's,0.0,193.0
ross,0.0,193.0
fuck,0.0,193.0
mcpearson,0.0,193.0
accomplished,0.0,193.0
maureen,0.0,193.0
quesiton,0.0,193.0
tucson,0.0,193.0
qualify,0.0,193.0
ahanchian,0.0,193.0
leafwhat,0.0,193.0
pam,1.0,193.0
functions,1.0,193.0
ix,0.0,193.0
wings,1.0,193.0
erin,1.0,193.0
paine,1.0,193.0
145,0.0,193.0
ladies,1.0,193.0
voicemail,0.0,193.0
steve,0.0,192.8674698795181
maria,1.0,192.85714285714286
tell,1.0,192.78125
games,0.0,192.66666666666663
guys,0.0,192.65
phil,1.0,192.57142857142856
celeste,0.0,192.5
payton,1.0,192.5
hair,1.0,192.5
sa,0.0,192.5
495sep,0.0,192.5
hot,0.0,192.5
else,0.0,192.31034482758625
20003,0.0,192.22222222222226
did,0.0,192.0778210116732
unfortunately,0.0,192.0769230769231
recordkeeping,0.0,192.0
throughout,0.0,192.0
maintains,1.0,192.0
o'clock,1.0,192.0
apte,0.0,192.0
invoicehello,0.0,192.0
87,0.0,192.0
norm,0.0,192.0
eu,0.0,192.0
paintball,0.0,192.0
vignathank,1.0,192.0
bianca,0.0,192.0
apt,0.0,192.0
burglar,1.0,192.0
alberto,0.0,192.0
repair,1.0,192.0
ronnie,0.0,192.0
heather,1.0,192.0
zachary,1.0,191.8
darrell,0.0,191.75
coulter,0.0,191.5
amortization,0.0,191.5
offensive,0.0,191.5
donald,0.0,191.5
pacheco,0.0,191.5
title,0.0,191.4
plate,0.0,191.33333333333331
okay,0.0,191.28712871287132
spec,0.0,191.25
ava,0.0,191.22222222222226
sat,0.0,191.14285714285717
what,0.0,191.11286089238843
here,0.0,191.04810126582282
barnes,1.0,191.0
glorious,0.0,191.0
recline,0.0,191.0
lb,0.0,191.0
montessori,0.0,191.0
pbr,0.0,191.0
caterer,1.0,191.0
walked,1.0,191.0
georganne,0.0,191.0
correction,0.0,191.0
doorstep,0.0,191.0
injuries,0.0,191.0
washingtonpost,0.0,191.0
riverside,1.0,191.0
eb3102gplease,0.0,191.0
mcbride,1.0,191.0
introduction,0.0,191.0
conditioned,1.0,191.0
9am,1.0,191.0
waht,1.0,191.0
patrick,0.0,191.0
pate,1.0,191.0
5472,0.0,191.0
takle,0.0,191.0
lees,0.0,191.0
5111018638,0.0,191.0
saramolly,1.0,191.0
manually,1.0,191.0
runs,1.0,191.0
chnlownr,0.0,191.0
plays,1.0,191.0
scandalous,0.0,191.0
bikes,0.0,191.0
evenings,0.0,191.0
bud,0.0,191.0
vacant,0.0,191.0
rsn,0.0,191.0
accrual,0.0,191.0
rbs,0.0,191.0
laundry,1.0,191.0
ask,0.0,190.93442622950818
likes,0.0,190.88888888888889
salt,0.0,190.83333333333331
calgary,1.0,190.8
helen,1.0,190.75
australia,1.0,190.70833333333331
angela,0.0,190.7
will,0.0,190.62726098191212
manager,0.0,190.5161290322581
willie,0.0,190.5
theo,0.0,190.5
15line,0.0,190.5
goto,0.0,190.5
'em,0.0,190.5
incoming,0.0,190.5
doubletree,0.0,190.5
carmen,0.0,190.5
casa,0.0,190.5
mph,0.0,190.5
depaolis,0.0,190.5
retirement,0.0,190.5
clint,0.0,190.5
goal,1.0,190.4
elmore,0.0,190.33333333333331
performing,0.0,190.33333333333331
plenty,0.0,190.33333333333331
footnote,0.0,190.25
flag,0.0,190.25
dinner,0.0,190.0
benson,0.0,190.0
mahmassani,0.0,190.0
calcagno,0.0,190.0
toknow,0.0,190.0
james,0.0,190.0
aggies,0.0,190.0
taxes,1.0,190.0
mat,0.0,190.0
library,0.0,190.0
agua,0.0,190.0
crawford,1.0,190.0
glendale,0.0,190.0
winning,0.0,190.0
auburn,0.0,190.0
forgive,0.0,190.0
northeast,0.0,190.0
o'rourke,0.0,190.0
broadway,0.0,190.0
toi,0.0,190.0
younger,0.0,190.0
gosh,1.0,190.0
couch,0.0,190.0
comp,0.0,190.0
bx,1.0,190.0
reviews,0.0,190.0
gardiner,0.0,190.0
annexes,0.0,190.0
corman,0.0,190.0
beverly,0.0,190.0
cruise,0.0,190.0
judging,0.0,190.0
filed,1.0,190.0
pollan,0.0,190.0
arkansas,0.0,189.88888888888889
please,0.0,189.79962013295346
brian,0.0,189.76190476190484
patience,0.0,189.75
masters,0.0,189.70588235294116
ja,0.0,189.66666666666663
jesse,0.0,189.66666666666663
andrea,0.0,189.61111111111111
da,1.0,189.5
russ,0.0,189.5
server,0.0,189.5
carnival,0.0,189.5
thank,0.0,189.47798742138372
secretary,0.0,189.44444444444446
clement,0.0,189.42857142857144
blanchard,0.0,189.42857142857144
brian,1.0,189.33333333333331
candidate,0.0,189.33333333333331
sure,0.0,189.31100478468898
nights,0.0,189.25
keyboard,0.0,189.25
missed,0.0,189.2
brad,0.0,189.17391304347825
suppose,0.0,189.16666666666663
am,1.0,189.1641961231471
anne,0.0,189.14705882352942
tim,0.0,189.13333333333333
girls,1.0,189.0
hogan,0.0,189.0
debba,1.0,189.0
tamara,0.0,189.0
9pm,1.0,189.0
bonnie,0.0,189.0
happier,0.0,189.0
mini,1.0,189.0
garcia,0.0,189.0
numbered,0.0,189.0
tournaments,0.0,189.0
72,0.0,189.0
shop,0.0,189.0
highlighting,0.0,189.0
burlington,0.0,189.0
watch,0.0,189.0
halves,0.0,189.0
represented,0.0,189.0
cry,0.0,189.0
landscape,0.0,189.0
34555oct,1.0,189.0
paa19127,0.0,189.0
hourly,1.0,189.0
miss,1.0,189.0
needless,1.0,189.0
safer,0.0,189.0
yg04,0.0,189.0
bye,0.0,189.0
expire,1.0,189.0
o'clock,0.0,189.0
mena,0.0,189.0
frumkin,1.0,188.85714285714286
gave,0.0,188.83333333333331
maintenance,0.0,188.83333333333331
germany,0.0,188.83333333333331
tournament,0.0,188.75
wines,0.0,188.75
marc,0.0,188.75
installation,1.0,188.75
86,0.0,188.66666666666663
kruger,0.0,188.66666666666663
bland,0.0,188.66666666666663
laura,0.0,188.66666666666663
frank,0.0,188.55555555555557
coaches,0.0,188.5
exam,0.0,188.5
waht,0.0,188.5
epaszkiewicz,0.0,188.5
parents,1.0,188.5
released,1.0,188.5
mrha,0.0,188.5
fantastic,0.0,188.5
omaha,0.0,188.5
saidhi,0.0,188.5
dropped,0.0,188.5
watanabe,1.0,188.42857142857144
matt,0.0,188.3809523809524
ca,0.0,188.3692307692308
spa,1.0,188.33333333333331
grab,1.0,188.33333333333331
cook,0.0,188.32142857142856
brent,0.0,188.25
asa,0.0,188.25
forgive,1.0,188.2
lsu,0.0,188.2
explained,0.0,188.2
password,0.0,188.1923076923077
happy,0.0,188.18421052631575
basically,0.0,188.1818181818182
go,0.0,188.17605633802813
wish,0.0,188.13333333333333
gottlob,0.0,188.0
gb,0.0,188.0
refrigerators,0.0,188.0
listened,0.0,188.0
remodeling,0.0,188.0
objects,1.0,188.0
baylorat,0.0,188.0
neil,1.0,188.0
ssmike,1.0,188.0
dream,1.0,188.0
searches,1.0,188.0
waller,0.0,188.0
sad,0.0,188.0
gerard,0.0,188.0
kelli,0.0,188.0
ray,0.0,188.0
facilities,1.0,188.0
fridge,0.0,188.0
pebble,0.0,188.0
midwest,0.0,188.0
amelia,1.0,188.0
discretionary,0.0,188.0
equipment,0.0,188.0
nonein,0.0,188.0
seth,0.0,188.0
giveme,0.0,188.0
thursdays,1.0,188.0
132,1.0,188.0
bankrupt,0.0,188.0
joyce,0.0,188.0
ewc,0.0,188.0
severely,1.0,188.0
7am,0.0,188.0
engagement,0.0,188.0
allergist,1.0,188.0
halted,1.0,188.0
clement's,0.0,188.0
convenient,0.0,188.0
92,0.0,188.0
felix,0.0,188.0
sontract,0.0,188.0
biloxi,1.0,188.0
remembering,0.0,188.0
lay,0.0,188.0
clears,0.0,188.0
ferries,0.0,188.0
1969,0.0,188.0
rhettjackson,0.0,188.0
tickets,0.0,187.90243902439025
council,0.0,187.875
hr,0.0,187.86666666666667
roy,0.0,187.83333333333331
want,0.0,187.8254310344828
hull,0.0,187.8181818181818
stacy,1.0,187.8
let,1.0,187.75148809523807
tell,0.0,187.72527472527474
moorer,0.0,187.7142857142857
christi,0.0,187.66666666666663
degrees,0.0,187.66666666666663
burk,0.0,187.5
faldyn,1.0,187.5
willingtodo,0.0,187.5
welmaker,1.0,187.5
thinks,0.0,187.5
chart,0.0,187.5
relates,1.0,187.5
bentsen,0.0,187.5
graham,0.0,187.5
skin,0.0,187.5
eligibility,0.0,187.5
richards,0.0,187.5
bobbie,0.0,187.5
flights,1.0,187.5
yours,0.0,187.46153846153842
sitting,0.0,187.33333333333331
numbered,1.0,187.33333333333331
cf,1.0,187.33333333333331
alberta,0.0,187.33333333333331
austin,0.0,187.3
skiing,0.0,187.16666666666663
24th,0.0,187.11111111111111
shackleton,0.0,187.09615384615384
appreciate,0.0,187.0909090909091
veronica,0.0,187.08333333333331
barbara,0.0,187.0
brooks,1.0,187.0
danny,0.0,187.0
rents,0.0,187.0
bitch,0.0,187.0
depart,0.0,187.0
ks,0.0,187.0
surprise,0.0,187.0
concur,1.0,187.0
whatabout,0.0,187.0
nw,1.0,187.0
